run,modello,task,domanda_id,voto
1,gemma2:27b,MMLU,136,1
1,llama3.2,SQuAD,137,1
1,llama3.1,SQuAD,137,1
1,gemma2:27b,SQuAD,137,1
1,llama3.2,HellaSwag,138,0
1,llama3.1,HellaSwag,138,0
1,gemma2:27b,HellaSwag,138,1
1,llama3.2,HellaSwag,139,1
1,llama3.1,HellaSwag,139,0
1,gemma2:27b,HellaSwag,139,1
1,llama3.2,HumanEval,140,1
1,llama3.1,HumanEval,140,1
1,gemma2:27b,HumanEval,140,1
1,llama3.2,GSM8K,141,1
1,llama3.1,GSM8K,141,1
1,gemma2:27b,GSM8K,141,1
1,llama3.2,HumanEval,142,1
1,llama3.1,HumanEval,142,1
1,gemma2:27b,HumanEval,142,1
1,llama3.2,MMLU,143,1
1,llama3.1,MMLU,143,1
1,gemma2:27b,MMLU,143,0
1,llama3.2,GSM8K,144,1
1,llama3.1,GSM8K,144,1
1,gemma2:27b,GSM8K,144,1
1,llama3.2,GSM8K,145,0
1,llama3.1,GSM8K,145,0
1,gemma2:27b,GSM8K,145,1
1,llama3.2,GSM8K,146,1
1,llama3.1,GSM8K,146,0
1,gemma2:27b,GSM8K,146,1
1,llama3.2,HumanEval,147,1
1,llama3.1,HumanEval,147,1
1,gemma2:27b,HumanEval,147,1
1,llama3.2,SQuAD,148,1
1,llama3.1,SQuAD,148,1
1,gemma2:27b,SQuAD,148,1
1,llama3.2,SQuAD,149,1
1,llama3.1,SQuAD,149,1
1,gemma2:27b,SQuAD,149,1
1,llama3.2,HumanEval,150,1
1,llama3.1,HumanEval,150,1
1,gemma2:27b,HumanEval,150,1
1,llama3.2,SQuAD,151,1
1,llama3.1,SQuAD,151,1
1,gemma2:27b,SQuAD,151,1
1,llama3.2,GSM8K,152,1
1,llama3.1,GSM8K,152,1
1,gemma2:27b,GSM8K,152,1
1,llama3.2,HumanEval,153,1
1,llama3.1,HumanEval,153,1
1,gemma2:27b,HumanEval,153,1
1,llama3.2,SQuAD,154,1
1,llama3.1,SQuAD,154,1
1,gemma2:27b,SQuAD,154,1
1,llama3.2,HellaSwag,155,0
1,llama3.1,HellaSwag,155,0
1,gemma2:27b,HellaSwag,155,0
1,llama3.2,HumanEval,156,1
1,llama3.1,HumanEval,156,1
1,gemma2:27b,HumanEval,156,1
1,llama3.2,HellaSwag,157,1
1,llama3.1,HellaSwag,157,1
1,gemma2:27b,HellaSwag,157,1
1,llama3.2,MMLU,158,1
1,llama3.1,MMLU,158,1
1,gemma2:27b,MMLU,158,1
1,llama3.2,HumanEval,159,1
1,llama3.1,HumanEval,159,1
1,gemma2:27b,HumanEval,159,1
1,llama3.2,MMLU,160,1
1,llama3.1,MMLU,160,0
1,gemma2:27b,MMLU,160,0
1,llama3.2,GSM8K,161,0
1,llama3.1,GSM8K,161,1
1,gemma2:27b,GSM8K,161,0
1,llama3.2,SQuAD,162,1
1,llama3.1,SQuAD,162,1
1,gemma2:27b,SQuAD,162,1
1,llama3.2,SQuAD,163,1
1,llama3.1,SQuAD,163,1
1,gemma2:27b,SQuAD,163,1
1,llama3.2,SQuAD,164,1
1,llama3.1,SQuAD,164,1
1,gemma2:27b,SQuAD,164,1
1,llama3.2,HellaSwag,165,0
1,llama3.1,HellaSwag,165,0
1,gemma2:27b,HellaSwag,165,1
1,llama3.2,HellaSwag,166,1
1,llama3.1,HellaSwag,166,0
1,gemma2:27b,HellaSwag,166,1
1,llama3.2,GSM8K,167,1
1,llama3.1,GSM8K,167,1
1,gemma2:27b,GSM8K,167,1
1,llama3.2,SQuAD,168,0
1,llama3.1,SQuAD,168,1
1,gemma2:27b,SQuAD,168,1
1,llama3.2,HellaSwag,169,1
1,llama3.1,HellaSwag,169,0
1,gemma2:27b,HellaSwag,169,1
1,llama3.2,HellaSwag,170,1
1,llama3.1,HellaSwag,170,1
1,gemma2:27b,HellaSwag,170,0
1,llama3.2,GSM8K,171,1
1,llama3.1,GSM8K,171,0
1,gemma2:27b,GSM8K,171,1
1,llama3.2,SQuAD,172,1
1,llama3.1,SQuAD,172,1
1,gemma2:27b,SQuAD,172,1
1,llama3.2,HumanEval,173,1
1,llama3.1,HumanEval,173,0
1,gemma2:27b,HumanEval,173,1
1,llama3.2,MMLU,174,1
1,llama3.1,MMLU,174,1
1,gemma2:27b,MMLU,174,1
1,llama3.2,MMLU,175,1
1,llama3.1,MMLU,175,1
1,gemma2:27b,MMLU,175,1
1,llama3.2,MMLU,176,1
1,llama3.1,MMLU,176,1
1,gemma2:27b,MMLU,176,0
1,llama3.2,SQuAD,177,1
1,llama3.1,SQuAD,177,1
1,gemma2:27b,SQuAD,177,1
1,,,,0
1,llama3.1,MMLU,178,1
1,gemma2:27b,MMLU,178,1
1,llama3.2,HellaSwag,179,0
1,llama3.1,HellaSwag,179,0
1,gemma2:27b,HellaSwag,179,1
1,llama3.2,HumanEval,180,1
1,llama3.1,HumanEval,180,1
1,gemma2:27b,HumanEval,180,1
1,llama3.2,SQuAD,181,1
1,llama3.1,SQuAD,181,1
1,gemma2:27b,SQuAD,181,1
1,llama3.2,GSM8K,182,1
1,llama3.1,GSM8K,182,0
1,gemma2:27b,GSM8K,182,1
1,llama3.2,SQuAD,183,1
1,llama3.1,SQuAD,183,1
1,gemma2:27b,SQuAD,183,1
1,llama3.2,HumanEval,184,1
1,llama3.1,HumanEval,184,0
1,gemma2:27b,HumanEval,184,1
1,llama3.2,HumanEval,185,1
1,llama3.1,HumanEval,185,1
1,gemma2:27b,HumanEval,185,1
1,llama3.2,MMLU,186,1
1,llama3.1,MMLU,186,1
1,gemma2:27b,MMLU,186,1
1,llama3.2,MMLU,187,1
1,llama3.1,MMLU,187,1
1,gemma2:27b,MMLU,187,1
1,llama3.2,HumanEval,188,1
1,llama3.1,HumanEval,188,1
1,gemma2:27b,HumanEval,188,1
1,llama3.2,MMLU,189,1
1,llama3.1,MMLU,189,1
1,gemma2:27b,MMLU,189,1
1,llama3.2,GSM8K,190,0
1,llama3.1,GSM8K,190,1
1,gemma2:27b,GSM8K,190,1
1,llama3.2,HellaSwag,191,1
1,llama3.1,HellaSwag,191,1
1,gemma2:27b,HellaSwag,191,1
1,llama3.2,SQuAD,192,1
1,llama3.1,SQuAD,192,1
1,gemma2:27b,SQuAD,192,1
1,llama3.2,HellaSwag,193,1
1,llama3.1,HellaSwag,193,0
1,gemma2:27b,HellaSwag,193,0
1,llama3.2,HumanEval,194,1
1,llama3.1,HumanEval,194,1
1,gemma2:27b,HumanEval,194,0
1,llama3.2,GSM8K,195,0
1,llama3.1,GSM8K,195,0
1,gemma2:27b,GSM8K,195,0
1,llama3.2,SQuAD,196,1
1,llama3.1,SQuAD,196,1
1,gemma2:27b,SQuAD,196,1
1,llama3.2,MMLU,197,0
1,llama3.1,MMLU,197,0
1,gemma2:27b,MMLU,197,0
1,llama3.2,MMLU,198,1
1,llama3.1,MMLU,198,0
1,gemma2:27b,MMLU,198,1
1,llama3.2,GSM8K,199,1
1,llama3.1,GSM8K,199,1
1,gemma2:27b,GSM8K,199,1
1,llama3.2,HumanEval,200,1
1,llama3.1,HumanEval,200,1
